# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = m12_6_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 2
# data
#   file = m12.6_2.data.R
# init = 2 (Default)
# random
#   seed = 2734546146
# output
#   file = m12.6_samples_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a_society.1,a_society.2,a_society.3,a_society.4,a_society.5,a_society.6,a_society.7,a_society.8,a_society.9,a_society.10,bp,sigma_society,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10
-35.5512,0.918209,0.0469778,6,63,0,41.6744,0.622636,-0.248417,0.149054,0.078413,0.533898,0.0695237,-0.274711,0.315673,-0.0204651,0.323062,-0.237409,0.30253,0.254109,-2.24081,-2.58955,-2.51144,-2.83692,-2.85895,-2.54381,-2.76772,-2.85806,-3.2221,-3.32092
-36.6412,0.997025,0.0469778,5,63,0,43.0006,0.956905,-0.0357347,0.0994782,0.0129139,0.451465,0.123754,-0.537343,0.0957629,0.0786489,0.346034,-0.0481273,0.272792,0.217662,-2.71375,-2.48533,-2.51935,-2.83723,-2.67321,-2.44529,-3.17423,-3.86385,-2.9659,-3.19391
-39.7861,0.651992,0.0469778,6,63,0,47.1775,1.0299,-0.115561,0.00637711,-0.0152573,0.00604609,0.0296242,0.127946,0.121772,-0.335918,0.0419658,-0.173829,0.276837,0.198837,-2.80308,-2.47818,-2.64458,-5.53669,-2.68414,-8.38372,-2.76767,-2.59151,-4.28235,-3.18467
-35.5892,0.997981,0.0469778,6,63,0,43.933,1.18439,-0.048491,0.000443026,-0.000975418,0.226174,0.0586389,-0.434489,-0.0483119,-0.0905502,0.258791,-0.0716441,0.253999,0.13278,-3.1042,-2.49387,-2.60125,-3.59231,-2.6712,-2.47167,-3.78462,-3.00468,-3.10665,-3.08656
-36.2016,0.966001,0.0469778,6,63,0,39.6898,1.06021,-0.178229,0.0727494,-0.0329845,0.0537007,-0.157838,-0.314461,0.143303,-0.214316,0.213499,-0.166532,0.277023,0.303354,-2.67658,-2.52005,-2.68418,-4.55284,-2.92128,-3.28389,-2.803,-2.86671,-2.94416,-3.42295
-42.3198,0.947035,0.0469778,6,63,0,46.4964,-0.109954,0.302366,0.102355,0.146172,0.474749,-0.267162,-0.344017,-0.108478,-0.384647,0.129206,-0.587516,0.396858,0.261985,-3.44474,-2.86581,-2.65635,-2.82496,-4.3584,-2.68015,-4.24803,-2.65036,-3.24956,-3.05524
-46.3811,0.920735,0.0469778,7,127,0,51.085,-1.6429,-0.0559922,0.941228,0.171782,0.673245,0.60958,-0.330285,0.606847,-0.119052,0.458549,-0.710325,0.533688,0.448725,-3.73046,-2.60703,-3.36423,-3.67139,-3.57069,-2.52978,-3.21338,-2.60871,-2.93805,-3.22078
-41.0762,0.996291,0.0469778,7,127,0,53.5531,-0.388672,-0.0716573,0.361676,0.0526782,0.779088,-0.0415492,-0.540394,0.24158,-0.15024,0.253838,-0.707904,0.421919,0.610461,-2.23943,-2.47971,-2.55252,-3.76775,-3.10915,-2.45717,-2.7699,-2.8184,-2.93509,-3.24584
-38.925,0.984853,0.0469778,7,191,0,52.5935,1.79991,-0.441401,-0.0544288,0.0152037,0.371301,-0.286258,-0.382789,0.0229351,-0.226552,0.335341,0.233592,0.188762,0.43533,-2.29792,-2.4818,-2.93788,-2.80349,-4.02643,-2.68325,-3.15677,-2.6001,-2.94531,-3.72829
-42.2946,0.699409,0.0469778,6,127,0,49.9371,1.5564,-0.632757,0.241978,0.00873504,0.535816,-0.118627,0.0455193,0.215366,-0.208873,0.365234,0.086444,0.214897,0.386171,-2.32338,-3.4095,-2.78321,-3.32552,-2.99673,-6.44311,-2.8052,-2.62503,-2.92941,-3.23815
-39.9024,0.998581,0.0469778,6,127,0,53.1455,1.24799,-0.0521845,-0.100477,-0.176633,-0.00364671,-0.0276789,-0.612677,0.097283,-0.379183,0.0441784,-0.497913,0.27244,0.263609,-4.48453,-2.49497,-2.70456,-3.67088,-3.06582,-2.58889,-3.19432,-2.78858,-3.00126,-3.39773
-41.9349,0.971216,0.0469778,7,127,0,47.1543,-0.0437089,0.302971,0.581454,0.41232,0.682192,0.455325,-0.194098,0.667427,0.320946,0.673634,0.137891,0.340058,0.449524,-2.24609,-2.51566,-2.51877,-3.95472,-2.71914,-2.5404,-2.79554,-2.99759,-3.00597,-3.35163
-44.4402,0.984269,0.0469778,6,63,0,48.5178,-0.137336,-0.0586528,0.317118,0.207491,0.827503,0.384682,0.358228,0.549422,0.0882386,0.603205,0.108354,0.356427,0.546207,-2.62607,-3.39283,-2.91527,-2.85539,-2.75711,-4.97781,-2.77661,-2.58836,-3.01859,-4.17012
-45.6842,0.940517,0.0469778,6,63,0,51.6364,0.0217521,0.162163,0.402356,0.0883216,0.767422,0.409064,0.490713,0.595623,0.137292,0.660988,-0.00985485,0.34109,0.618022,-2.2082,-2.77741,-3.34058,-2.94034,-2.6815,-7.15825,-2.80058,-2.63585,-2.92582,-3.06754
-42.1649,0.978449,0.0469778,6,63,0,50.7728,0.0170645,0.188312,0.490149,0.41232,0.663835,0.58132,0.0230718,0.398992,0.19733,0.455579,-0.0863855,0.349957,0.617617,-2.26357,-2.4748,-2.68238,-3.0733,-3.52806,-2.99358,-2.88638,-3.17028,-3.27798,-3.14557
-39.9559,0.998187,0.0469778,7,255,0,44.9912,2.19844,-0.421708,-0.117454,-0.512306,-0.0155281,-0.404242,-0.556201,-0.0446745,-0.366733,0.109017,-0.0151617,0.17119,0.302635,-3.47065,-3.16708,-2.60599,-3.1368,-3.15819,-2.97046,-2.78054,-2.802,-2.94452,-3.20318
-38.826,0.963014,0.0469778,6,127,0,45.9293,1.44841,-0.536273,0.0614469,-0.387607,0.168051,0.00990621,-0.24217,0.122976,-0.412591,0.0366642,-0.0943373,0.236957,0.373378,-2.20811,-2.73483,-2.86568,-3.18523,-2.75962,-4.06076,-2.80696,-2.62488,-4.0272,-3.17824
-34.76,0.980875,0.0469778,6,63,0,42.3723,0.799341,-0.207278,0.0189353,0.112079,0.240488,-0.048989,-0.204037,0.0698676,-0.277415,0.364252,-0.238341,0.296083,0.23361,-2.27587,-2.59082,-2.82699,-3.70478,-2.8564,-3.42321,-3.03036,-2.58845,-2.99116,-3.05301
-35.7628,0.999402,0.0469778,6,63,0,39.4581,1.19504,-0.129682,0.271036,-0.0955001,0.222689,0.034378,-0.225111,0.231284,-0.346846,0.201149,-0.0279112,0.250645,0.173879,-2.67142,-2.97918,-2.51952,-3.7646,-2.68862,-3.20326,-2.77813,-2.75059,-3.61136,-3.12009
-37.8733,0.992332,0.0469778,6,63,0,40.7838,1.1074,-0.294846,-0.381084,0.0242216,0.201389,-0.0474828,-0.454633,-0.0702498,-0.140068,0.161312,-0.235119,0.271519,0.337541,-2.35971,-3.8666,-2.91035,-3.2705,-2.67478,-2.61587,-3.33471,-3.23247,-3.12132,-3.05519
-38.1264,0.999672,0.0469778,6,127,0,42.9585,0.420619,-0.169345,0.566678,0.0460288,0.417823,0.189895,-0.339131,0.331324,-0.161122,0.389286,-0.0976445,0.319629,0.259834,-2.24376,-3.11911,-2.61436,-3.71998,-2.69367,-2.39643,-2.77317,-2.61589,-3.07369,-3.19766
-39.219,0.954607,0.0469778,6,127,0,43.9506,1.48852,-0.314098,-0.107689,-0.0133397,0.3957,0.287879,-0.736433,0.169926,-0.145941,0.407198,-0.0552589,0.22325,0.460367,-2.41384,-2.5327,-2.70779,-2.8063,-3.97705,-2.70463,-2.76649,-2.81674,-3.06018,-3.09044
-38.2241,0.968815,0.0469778,6,63,0,46.5208,1.42099,-0.123118,0.0817501,-0.024348,0.256673,-0.095073,0.178833,0.190176,-0.0173554,0.21982,0.172146,0.214774,0.170774,-2.60357,-2.47164,-2.51757,-4.17067,-3.67272,-6.39453,-3.03097,-2.7508,-4.73644,-3.06633
-35.9113,0.869671,0.0469778,6,63,0,42.0245,0.935062,-0.137392,-0.0352229,-0.0636662,0.136389,0.101145,-0.502514,-0.0282974,-0.155287,0.163072,-0.139132,0.290237,0.161046,-2.70848,-2.51891,-2.57163,-3.85766,-2.94076,-2.48697,-3.10475,-3.16822,-3.0695,-4.1162
-37.9582,0.988018,0.0469778,6,63,0,41.6622,1.07725,-0.142977,-0.0166354,-0.198906,0.115035,0.214848,-0.458587,-0.0731808,-0.0664596,0.130623,-0.00904895,0.265858,0.161895,-2.58347,-2.5476,-2.68489,-4.73795,-3.13983,-2.43472,-3.99237,-3.1687,-3.97478,-3.73124
-38.5608,0.994957,0.0469778,6,63,0,42.6194,1.09175,-0.43098,-0.123234,0.0477238,0.389415,-0.227701,-0.178444,0.11319,-0.170559,0.253624,0.100777,0.257455,0.307625,-2.27221,-3.05269,-2.571,-3.00234,-4.36614,-3.23143,-3.10989,-2.59892,-3.48759,-3.94235
-37.1483,0.962161,0.0469778,6,127,0,43.1238,0.568487,-0.03187,0.108919,-0.11587,0.411196,0.115227,-0.592494,0.304978,-0.27416,0.170761,-0.383462,0.328195,0.263189,-2.72753,-2.47023,-2.5285,-2.80148,-2.88143,-2.39891,-3.45424,-2.66033,-3.02646,-3.09015
-36.9491,0.881429,0.0469778,6,127,0,41.3332,1.27032,-0.358328,0.117205,-0.202602,0.273604,0.0127427,-0.180846,-0.10833,-0.0534268,0.169465,-0.207844,0.257468,0.258567,-2.3619,-2.84446,-2.51149,-2.82805,-2.7793,-4.74136,-3.35657,-4.22596,-2.99747,-3.07287
-40.4003,0.814784,0.0469778,6,95,0,45.7977,0.365866,-0.145912,0.12512,-0.244699,0.359588,-0.184899,-0.705388,0.0697057,-0.403987,0.117131,-0.645269,0.348071,0.389955,-2.26528,-2.50038,-2.99031,-2.95611,-3.37736,-2.61456,-2.87952,-2.66114,-3.32808,-4.16696
-39.6311,0.997394,0.0469778,7,191,0,46.2126,0.707596,0.0810505,0.113697,0.258692,0.567143,0.22234,0.0868274,0.250977,0.0243862,0.421653,-0.00394157,0.295012,0.24669,-2.81002,-2.60182,-3.04659,-2.80548,-2.73398,-5.23754,-2.79359,-3.15278,-2.9246,-3.73748
-37.5911,0.999609,0.0469778,6,127,0,45.7373,0.67822,-0.253932,0.172277,-0.242294,0.180037,0.12232,-0.619897,0.154033,-0.162723,0.139495,-0.273694,0.308021,0.286244,-2.20959,-2.46986,-3.05115,-4.47534,-2.70877,-2.5225,-2.80595,-2.736,-3.76644,-3.05146
-42.1509,0.972636,0.0469778,6,127,0,50.3493,-0.396077,0.0422035,-0.180747,-0.323708,0.30347,-0.231139,-0.618682,-0.190545,-0.642448,-0.0491398,-0.942555,0.454857,0.561664,-2.71363,-3.61609,-2.85135,-2.80149,-2.75164,-2.55984,-3.06086,-2.64075,-2.92616,-3.38614
-46.7204,0.99946,0.0469778,6,63,0,49.6561,-0.664243,0.234973,0.0590695,0.0815059,0.0713065,-0.361555,-0.371839,-0.245021,-0.525401,-0.180889,-1.2661,0.489412,0.381459,-3.62436,-2.61322,-3.30672,-3.65928,-3.08039,-4.31222,-3.09567,-2.77776,-3.05928,-3.19108
-46.3373,0.955142,0.0469778,6,127,0,53.7918,-0.0725608,-0.465157,0.249083,-0.24435,0.41692,-0.236645,-0.918776,0.0733094,-0.228143,-0.209409,-1.0381,0.414686,0.729475,-2.44801,-2.62809,-2.62578,-3.0123,-2.8663,-2.78272,-2.95863,-3.93837,-4.36336,-4.13085
-43.7916,0.996494,0.0469778,7,127,0,53.7338,0.711457,-0.382646,-0.396808,-0.204595,0.280689,-0.04158,-0.766117,-0.480953,-0.496369,-0.0208112,-0.723288,0.335425,0.422751,-2.29382,-3.50385,-2.58159,-2.92052,-3.12564,-2.39782,-5.5384,-2.6399,-2.96669,-3.23849
-41.1811,0.83071,0.0469778,6,63,0,48.1979,0.361945,-0.0556052,-0.0282086,-0.108239,0.133334,-0.29505,-0.555203,0.0484952,-0.501765,-0.127642,-0.607876,0.357935,0.44185,-2.64291,-2.67313,-2.51197,-3.87957,-3.5533,-2.45663,-2.76814,-2.67835,-4.83917,-3.07461
-37.2398,0.983755,0.0469778,6,63,0,47.9449,0.779576,-0.544595,0.0456072,-0.180469,0.276283,-0.0574082,-0.487617,-0.121648,-0.288739,0.283778,-0.389059,0.307623,0.338949,-2.39716,-2.4711,-2.55368,-3.00297,-2.6882,-2.5197,-3.69241,-2.66373,-3.03022,-3.06464
-38.5291,0.946871,0.0469778,6,63,0,42.0166,1.38677,0.0189513,-0.0621345,-0.120924,0.183705,0.165011,-0.361447,0.0208492,-0.415318,-0.0133366,-0.207579,0.249815,0.232041,-4.99225,-2.5094,-2.73499,-2.91533,-4.10303,-3.52462,-2.76549,-2.58847,-3.88769,-3.12552
-37.0587,0.814183,0.0469778,6,127,0,44.7558,1.54188,-0.361028,0.0846807,-0.292019,0.124534,0.114907,-0.35913,0.0934694,-0.313957,0.219194,0.0751753,0.217643,0.17716,-2.34151,-2.65398,-2.75517,-4.04348,-2.83797,-2.77863,-2.85357,-2.61309,-3.30413,-3.28629
-37.9777,0.768581,0.0469778,6,63,0,42.9651,1.20878,-0.130036,-0.156392,-0.30854,0.29107,0.0111346,-0.241692,-0.047514,-0.0427527,0.0573831,-0.233596,0.253271,0.261996,-2.80037,-2.82786,-2.97789,-3.07525,-2.67637,-3.3352,-3.63502,-3.41058,-4.71758,-3.50651
-40.5738,0.912612,0.0469778,6,63,0,46.807,1.36077,-0.196433,0.0226904,-0.0475564,0.697112,-0.208292,-0.415016,0.0691688,-0.138684,0.430868,0.137582,0.233222,0.276997,-2.58861,-2.46829,-2.53604,-4.56182,-3.74175,-2.48852,-3.09091,-2.73024,-3.03514,-3.9701
-37.1087,0.912754,0.0469778,6,63,0,44.754,1.65174,-0.254485,-0.15783,-0.0908278,0.0279432,0.0329378,-0.47996,-0.027264,-0.0543874,0.287179,-0.0495678,0.212199,0.323326,-2.94243,-2.49046,-2.69287,-4.37431,-2.77466,-2.57515,-3.078,-3.7531,-2.92475,-3.05173
-40.2249,0.923017,0.0469778,6,63,0,44.706,1.84044,-0.692051,0.056035,0.118144,0.197252,-0.272742,-0.565963,-0.0311294,-0.211163,0.124525,-0.0624689,0.197487,0.283844,-2.21506,-3.21491,-4.68803,-2.85415,-3.11732,-2.50381,-2.8814,-3.00525,-3.262,-3.05595
-38.2251,0.986202,0.0469778,6,63,0,44.9992,1.35875,-0.386801,-0.012323,-0.232335,0.199181,-0.316095,-0.261524,0.216618,-0.210795,0.25413,-0.0702058,0.240705,0.40612,-2.26542,-2.47098,-2.5873,-3.34556,-4.09775,-3.45291,-2.90852,-2.72094,-2.97372,-3.11073
-40.8236,0.984838,0.0469778,6,63,0,44.9685,2.03702,-0.279042,-0.397905,-0.496029,0.143286,-0.175112,-0.804751,-0.159389,-0.487078,0.202172,-0.060115,0.186665,0.307805,-4.14335,-2.54879,-2.64779,-2.8015,-2.68319,-2.40677,-2.98879,-2.59076,-3.01062,-3.14956
-47.2809,0.998272,0.0469778,6,63,0,53.1989,1.56264,-0.372553,-0.217381,0.0367156,0.319257,-0.622982,-0.62279,-0.0369328,-0.486131,0.446221,0.0589525,0.222158,0.666102,-2.43402,-2.62323,-3.26457,-2.80172,-7.25145,-2.39615,-3.11686,-2.89277,-3.78642,-3.79523
-46.1757,0.975295,0.0469778,6,63,0,50.4601,1.68326,-0.22468,-0.112773,0.0504705,0.410694,-0.528344,-0.59649,0.0422432,-0.633235,0.422528,-0.0440476,0.207524,0.640846,-3.08908,-2.46834,-3.36269,-2.98674,-6.09115,-2.39606,-2.85937,-3.85247,-3.3793,-3.07229
-36.3788,0.999233,0.0469778,6,63,0,49.4312,0.704788,-0.368393,-0.198262,-0.0195182,0.301456,-0.101673,-0.341091,0.00503641,-0.224389,0.0788105,-0.30271,0.317068,0.308337,-2.20825,-3.18053,-2.64475,-2.89859,-2.74554,-3.14785,-2.90658,-2.92704,-3.34293,-3.50148
-35.0195,0.825051,0.0469778,6,63,0,40.8026,1.42027,-0.363381,0.0643963,-0.149023,0.075279,-0.0140489,-0.129657,0.0896533,-0.208089,0.210368,-0.143251,0.239974,0.198618,-2.41283,-2.72365,-2.55297,-3.87413,-2.70786,-5.25668,-2.76801,-2.93393,-2.95227,-3.0656
-39.3784,0.999546,0.0469778,6,63,0,42.844,1.78765,-0.28966,0.0756643,0.172353,0.423095,-0.317487,-0.477272,0.0725559,-0.0493655,0.310208,0.209129,0.185154,0.288098,-2.57857,-2.65148,-3.69232,-2.80899,-4.74349,-2.40415,-3.13344,-2.96627,-3.19294,-3.15321
-42.8395,0.993934,0.0469778,6,63,0,46.6857,1.83626,-0.419957,-0.144304,0.224223,0.187321,-0.144767,-0.734749,-0.0838319,-0.0788737,0.504763,0.0843008,0.186483,0.487098,-2.37744,-2.48179,-4.82875,-3.30643,-2.99421,-2.64624,-3.78351,-3.1369,-3.62605,-3.05295
-41.2596,0.988233,0.0469778,6,127,0,49.0964,2.39235,-0.319787,-0.104227,-0.306756,0.229028,-0.0523186,-0.755792,-0.0256635,0.0735426,0.528965,0.368716,0.117452,0.322738,-3.0011,-2.50344,-2.70773,-3.22941,-2.86249,-2.95254,-3.9194,-3.51135,-3.03023,-3.08433
-41.2639,0.933854,0.0469778,6,127,0,50.0408,1.71029,-0.189669,0.273437,0.187685,0.319518,0.0544927,-0.759966,0.0416748,-0.217014,0.497259,0.174497,0.19498,0.38871,-2.95603,-3.71361,-3.8515,-2.93231,-2.6702,-2.90876,-3.2356,-2.58893,-3.2392,-3.20068
-39.6088,0.962792,0.0469778,6,127,0,49.2506,1.05602,0.255192,-0.0114134,0.0416713,0.131842,0.0520402,-0.571218,0.168714,-0.183686,0.204531,-0.0554108,0.259632,0.244659,-4.73059,-2.69678,-2.53687,-5.45418,-2.76101,-2.54083,-2.93853,-2.58802,-4.05816,-3.0552
-35.8691,0.999252,0.0469778,6,63,0,47.6359,0.772501,-0.113403,-0.0904438,0.149285,0.264384,0.115896,-0.109822,0.222046,0.0765707,0.184227,-0.0820753,0.297196,0.16565,-2.4201,-3.03323,-2.91234,-3.65214,-2.69604,-4.04092,-2.7721,-4.31838,-3.4904,-3.8915
-34.6394,0.985627,0.0469778,5,31,0,38.3264,1.14793,-0.176539,0.124661,0.0708382,0.312344,0.0881879,-0.11519,0.153607,-0.0593603,0.125603,-0.150412,0.248829,0.165114,-2.35959,-2.46827,-2.58696,-3.54736,-2.70051,-3.51404,-3.02574,-2.77522,-5.20848,-3.79885
-36.21,0.999201,0.0469778,6,63,0,40.5244,1.02015,-0.254243,0.023213,-0.0782526,0.363034,0.0898023,-0.338185,0.20213,-0.151732,0.463776,-0.232754,0.276811,0.226476,-2.34037,-2.47417,-2.52276,-2.82351,-2.77714,-2.91602,-2.83853,-2.9584,-3.88221,-3.05392
-36.1929,0.999964,0.0469778,6,63,0,38.3745,1.38888,-0.0383945,0.131865,-0.014591,0.423545,0.0746942,-0.279194,0.390757,-0.15528,0.259434,-0.0143063,0.222239,0.321025,-3.06212,-2.50212,-2.51456,-2.8915,-2.71518,-2.66073,-3.06088,-2.58863,-3.83563,-3.42717
-34.0174,0.995845,0.0469778,6,63,0,44.9623,1.48229,-0.131658,0.0570629,0.130216,0.134418,-0.00450074,-0.264767,0.162319,-0.206065,0.285453,0.0413188,0.218038,0.199875,-2.91477,-2.48876,-3.13668,-4.5204,-2.76306,-2.95197,-2.82327,-2.58927,-3.24139,-3.05386
-36.0465,0.998016,0.0469778,6,63,0,38.522,1.10731,-0.0164658,-0.0350714,0.00684509,0.414868,-0.156757,-0.0344442,0.2689,-0.0124724,0.253129,-0.00459685,0.254097,0.173612,-2.88058,-2.73716,-2.51485,-2.9549,-3.86794,-4.25483,-2.7663,-3.01457,-3.62809,-3.06952
-39.3773,0.917964,0.0469778,6,63,0,46.0242,1.10639,-0.0173051,0.225661,-0.0552972,0.136038,-0.0242307,-0.139279,0.488991,-0.115068,0.136645,-0.141392,0.261561,0.178,-3.13796,-2.74253,-2.51411,-4.58099,-2.78306,-3.90134,-4.6735,-2.86241,-4.0444,-3.06813
-40.7784,0.975555,0.0469778,6,63,0,51.3588,0.264977,0.0574706,-0.0291525,0.000850213,0.126458,0.0221371,-0.587984,0.436304,-0.262676,0.337954,-0.397717,0.357651,0.346864,-2.69627,-3.05235,-2.51471,-5.01337,-2.67837,-2.42192,-4.44792,-2.63608,-3.15286,-3.30907
-38.3802,0.859007,0.0469778,6,127,0,47.6107,1.0776,-0.516793,-0.253075,-0.115174,0.374396,0.00125395,-0.809876,0.0439459,-0.272008,0.186417,-0.302446,0.281781,0.398661,-2.21393,-2.90369,-2.61572,-2.9384,-2.81634,-2.58414,-2.76586,-2.88683,-2.92671,-3.11392
-38.9288,0.999923,0.0469778,6,127,0,43.183,0.796725,-0.0939488,-0.323625,0.0686115,0.235471,-0.022062,-0.516678,-0.0615626,-0.303037,-0.0503246,-0.36496,0.314603,0.306113,-3.05749,-3.4666,-3.42268,-2.88479,-2.78104,-2.66227,-2.89743,-2.88257,-3.83109,-3.49178
-39.1503,0.967589,0.0469778,6,63,0,45.4425,0.149334,-0.2377,0.230761,0.0231734,0.321319,-0.34887,-0.459941,0.0952382,-0.39809,0.268818,-0.562677,0.375547,0.275778,-2.21134,-2.48228,-2.57109,-3.04337,-4.47648,-2.53814,-2.77101,-2.5957,-3.10441,-3.07859
-37.4099,0.990365,0.0469778,6,63,0,42.9948,0.798873,-0.26036,0.282143,-0.112753,0.176805,-0.00533935,-0.206742,0.142303,-0.314431,0.108156,-0.279922,0.304161,0.371165,-2.28009,-3.01189,-2.51146,-3.66967,-2.6705,-3.96992,-2.7817,-2.60387,-3.36046,-3.20831
-39.7623,0.862068,0.0469778,6,63,0,42.9888,0.726319,-0.496944,0.204962,-0.0329036,0.397522,-0.124302,-0.615875,0.0563254,-0.228771,0.381508,-0.212944,0.31446,0.272537,-2.3185,-2.69413,-2.61248,-2.81793,-2.80778,-2.39613,-2.79131,-2.89335,-3.79424,-4.40576
-45.1485,0.969956,0.0469778,6,63,0,49.6433,1.07984,-0.217732,-0.390736,-0.260912,-0.0989146,-0.11622,-0.195007,0.169181,-0.475224,-0.158046,-0.191664,0.282468,0.329674,-2.74894,-3.58316,-2.53654,-5.63657,-2.67409,-4.9691,-3.16573,-2.62502,-5.55101,-4.05144
-41.9607,1,0.0469778,6,127,0,49.9949,1.36987,-0.0512949,-0.358828,-0.343303,0.181235,-0.102311,-0.0997288,0.138879,-0.197161,-0.0460283,-0.355888,0.249974,0.255095,-4.17689,-3.11108,-2.6381,-2.97684,-2.66978,-6.19578,-2.9781,-3.24079,-4.40346,-3.52604
-43.7536,0.743211,0.0469778,6,63,0,56.1121,1.3912,-0.206484,-0.332159,-0.0393138,-0.0620354,0.215889,-0.201966,0.0292693,-0.492045,0.323194,-0.00428457,0.240401,0.424329,-2.87115,-3.223,-2.76675,-5.75131,-3.81491,-4.1904,-2.87313,-2.91086,-3.01126,-3.73007
-42.6438,0.999979,0.0469778,6,63,0,51.1018,0.974084,-0.312193,0.0220636,-0.248128,0.346712,-0.561841,-0.533712,0.153551,-0.34723,0.0135791,-0.376994,0.293132,0.243818,-2.36117,-2.49492,-2.54301,-2.84321,-5.83809,-2.56425,-3.03631,-2.66112,-3.55818,-3.05263
-40.8351,0.974509,0.0469778,6,127,0,48.8794,2.22611,-0.620597,-0.279168,-0.143342,0.222199,0.297662,-0.613276,0.0179238,-0.253521,0.489545,0.39235,0.132782,0.330946,-2.21344,-2.77939,-2.5122,-3.51316,-3.45305,-2.56907,-3.77116,-2.72832,-2.92498,-3.0641
