# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = MedianAgeDivorce_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 3
# data
#   file = MedianAgeDivorce_3.data.R
# init = 2 (Default)
# random
#   seed = 2734688122
# output
#   file = MedianAgeDivorce_samples_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,bA,sigma
-44.9016,0.896039,0.742088,2,3,0,48.7378,9.64005,-1.34459,1.40136
-44.4361,1,0.742088,2,3,0,45.0274,9.5909,-1.28492,1.48184
-44.5302,0.981449,0.742088,3,7,0,45.2331,9.60065,-0.898281,1.65045
-45.4367,0.821702,0.742088,3,7,0,48.1561,9.79143,-1.11481,1.23341
-44.9475,0.700914,0.742088,5,47,0,48.3134,9.50581,-1.02636,1.29104
-46.7251,0.807066,0.742088,2,3,0,48.0611,9.88167,-1.10968,1.1893
-46.5891,0.910043,0.742088,4,23,0,49.0017,9.29577,-0.967365,1.78624
-46.1091,0.976098,0.742088,2,3,0,47.7772,9.31125,-1.20605,1.69162
-45.2393,0.995976,0.742088,5,39,0,46.4634,10.0287,-1.19439,1.47361
-44.43,1,0.742088,2,3,0,45.1566,9.92694,-1.14311,1.44864
-44.8918,0.872731,0.742088,3,11,0,45.988,9.41168,-0.87747,1.56644
-48.1588,0.768846,0.742088,2,3,0,48.8424,9.62591,-0.394008,1.63464
-46.0452,0.998114,0.742088,2,3,0,48.3599,9.73275,-0.632789,1.69876
-44.4764,1,0.742088,2,3,0,46.0984,9.68671,-0.812605,1.59544
-44.9575,0.865039,0.742088,2,3,0,46.4095,9.95263,-0.94477,1.6413
-48.2521,0.738911,0.742088,3,7,0,48.9871,10.1558,-1.23415,1.2895
-46.0711,1,0.742088,2,3,0,49.1672,9.3968,-1.01736,1.79188
-45.8463,0.930192,0.742088,4,23,0,48.4164,9.60143,-0.982684,1.83123
-43.9579,0.993334,0.742088,4,23,0,45.7173,9.75858,-0.981732,1.57306
-44.1651,0.931877,0.742088,3,7,0,44.9336,9.50426,-1.09451,1.4037
-44.9579,0.942805,0.742088,2,3,0,45.4114,9.81934,-1.06037,1.26938
-46.5586,0.709892,0.742088,4,27,0,48.2753,9.43558,-1.01124,1.86333
-44.8212,0.993768,0.742088,2,3,0,47.1943,9.56254,-0.789993,1.3897
-44.7214,0.996487,0.742088,4,23,0,45.1164,9.85286,-1.20274,1.63223
-44.895,0.970541,0.742088,3,15,0,45.6802,9.44634,-0.901744,1.37109
-44.3994,0.992906,0.742088,4,27,0,45.7484,9.57188,-0.882204,1.3677
-44.3994,0.522419,0.742088,2,3,0,49.8419,9.57188,-0.882204,1.3677
-44.8067,0.934411,0.742088,3,7,0,45.8585,9.90732,-1.27172,1.50406
-45.528,0.906973,0.742088,2,3,0,47.3985,9.50491,-0.763758,1.35109
-44.9049,1,0.742088,2,3,0,45.8523,9.62637,-0.725338,1.44696
-46.1649,0.849075,0.742088,2,3,0,47.3855,9.75451,-0.569919,1.55628
-47.9079,0.907938,0.742088,2,3,0,49.4701,9.69165,-0.520656,1.85798
-47.1445,0.946995,0.742088,3,7,0,49.4436,9.61241,-0.479593,1.58651
-44.0062,0.839454,0.742088,2,5,0,49.6503,9.66745,-0.994033,1.59642
-44.0062,0.737499,0.742088,2,3,0,46.7829,9.66745,-0.994033,1.59642
-46.1707,0.860844,0.742088,2,3,0,46.3015,9.31754,-1.1287,1.73785
-44.0545,0.923577,0.742088,4,19,0,47.4005,9.66615,-0.988084,1.34246
-45.71,0.721154,0.742088,3,7,0,47.2225,9.74125,-0.711443,1.7238
-44.1516,0.989463,0.742088,2,7,0,45.8444,9.84156,-0.896332,1.46426
-46.2343,0.776713,0.742088,2,3,0,47.3005,9.78426,-0.75089,1.81135
-44.6747,0.969558,0.742088,3,7,0,47.0365,9.57904,-1.14363,1.29772
-44.5544,0.961533,0.742088,5,59,0,45.5884,9.76419,-1.30955,1.50368
-44.4667,0.995787,0.742088,3,7,0,45.0944,9.75147,-1.18254,1.63656
-44.1036,0.938522,0.742088,5,47,0,45.8194,9.8496,-0.922184,1.45895
-44.0067,0.999924,0.742088,3,7,0,44.3781,9.54274,-1.14344,1.49322
-44.5713,0.80574,0.742088,3,7,0,46.5857,9.49546,-1.16733,1.60515
-45.5476,0.788974,0.742088,2,3,0,47.6081,9.72646,-1.08584,1.80184
-45.6578,0.99322,0.742088,3,11,0,46.4469,9.59563,-1.16988,1.22766
-44.5959,0.985928,0.742088,5,43,0,46.5241,9.62064,-1.16215,1.30031
-44.3286,0.782465,0.742088,2,3,0,47.0181,9.67174,-0.86565,1.60825
-44.9446,0.968849,0.742088,2,3,0,45.101,9.68105,-1.20238,1.27717
-43.8405,0.98313,0.742088,2,3,0,45.1732,9.6403,-1.06259,1.37613
-44.0223,0.886001,0.742088,3,11,0,44.8741,9.57642,-1.06673,1.57492
-45.7914,0.768932,0.742088,2,3,0,46.8622,9.58899,-1.33121,1.73255
-45.747,0.992897,0.742088,3,15,0,46.1246,9.73557,-0.792784,1.27212
-44.4934,1,0.742088,2,3,0,46.2224,9.89531,-0.968816,1.36969
-44.5492,0.997598,0.742088,3,15,0,45.0921,9.46515,-1.08618,1.60678
-44.4306,0.920216,0.742088,3,7,0,46.0646,9.63343,-1.29611,1.48923
-45.3758,0.876935,0.742088,3,7,0,46.3862,9.51609,-1.38884,1.50931
-46.7326,0.786466,0.742088,3,7,0,48.4303,9.93035,-0.569379,1.58522
-46.9507,0.905482,0.742088,2,7,0,50.1544,9.35404,-0.717929,1.7813
-43.9259,0.988224,0.742088,2,3,0,47.0314,9.75473,-1.05935,1.36439
-43.8896,0.864153,0.742088,1,3,0,45.1489,9.58972,-0.957375,1.52592
-44.2878,0.966144,0.742088,2,3,0,44.3845,9.85137,-1.17935,1.40019
-45.0666,0.863247,0.742088,3,11,0,45.9,9.38249,-0.931265,1.61153
-43.8894,0.998397,0.742088,2,3,0,45.1229,9.82703,-0.993802,1.44635
-43.8089,0.998312,0.742088,3,15,0,44.0285,9.64178,-1.05809,1.3826
-43.6966,0.949835,0.742088,1,3,0,44.3026,9.71678,-1.05122,1.51464
-44.5888,0.916264,0.742088,2,3,0,44.6241,9.86549,-0.828869,1.55486
-44.1087,0.974063,0.742088,4,23,0,45.2942,9.54161,-1.15925,1.52705
-44.6723,0.960092,0.742088,2,7,0,45.04,9.65055,-0.962796,1.69766
-47.239,0.84141,0.742088,2,3,0,47.5431,9.68715,-0.466807,1.60232
-44.8845,0.98403,0.742088,3,7,0,47.8155,9.64229,-0.770274,1.63665
-46.3364,0.827445,0.742088,2,7,0,47.5595,9.72926,-1.38234,1.77372
-43.9255,0.85841,0.742088,2,3,0,49.2373,9.55974,-1.12541,1.43367
-45.9464,0.860686,0.742088,4,23,0,46.0787,9.54343,-0.622839,1.46911
-45.1069,0.99615,0.742088,3,7,0,46.291,9.47214,-0.781308,1.42294
-44.7238,0.98002,0.742088,3,15,0,46.1651,9.79121,-1.03622,1.28036
-44.5005,0.877543,0.742088,4,19,0,46.2647,9.60588,-0.923297,1.3195
-45.4001,0.841265,0.742088,5,63,0,46.2561,9.71384,-0.826293,1.27706
-44.6979,0.850469,0.742088,2,3,0,47.3655,9.4783,-0.862461,1.40342
-44.1333,0.980704,0.742088,3,7,0,45.0598,9.79492,-1.20886,1.51453
-46.681,0.78423,0.742088,3,7,0,47.591,9.76848,-0.522205,1.5761
-44.1429,0.985309,0.742088,3,15,0,47.0504,9.56828,-1.20832,1.50159
-44.7984,0.854091,0.742088,2,3,0,45.9471,10.0082,-1.05421,1.49824
-45.5305,0.906285,0.742088,2,3,0,46.4833,10.0753,-1.08772,1.60953
-44.2215,0.816414,0.742088,1,3,0,49.2495,9.64319,-0.934163,1.34077
-44.2974,0.997059,0.742088,3,7,0,44.6935,9.76612,-1.14317,1.62127
-44.4404,0.981009,0.742088,3,15,0,44.8954,9.53806,-1.22507,1.56181
-44.9778,0.750202,0.742088,3,7,0,48.6106,9.74503,-0.735452,1.61262
-45.3183,0.938318,0.742088,2,7,0,46.4265,9.41158,-0.831111,1.39515
-44.5273,0.971216,0.742088,3,15,0,46.1117,9.64105,-1.28307,1.56978
-46.0714,0.901808,0.742088,3,15,0,46.7514,9.84722,-1.46768,1.56922
-46.7431,0.941062,0.742088,2,3,0,48.4605,9.65527,-0.744582,1.23728
-50.2415,0.566306,0.742088,3,7,0,52.585,9.52275,-1.72629,1.88164
-49.5201,1,0.742088,2,3,0,50.6987,9.40261,-1.65447,1.82613
-44.231,0.906917,0.742088,3,7,0,51.033,9.56464,-1.19072,1.55893
-45.946,0.830501,0.742088,2,7,0,46.5845,9.25004,-1.16108,1.51393
-50.2281,0.708994,0.742088,2,3,0,52.6584,10.128,-0.368218,1.65316
-48.2485,1,0.742088,3,7,0,52.3178,9.74136,-1.68094,1.56138
-46.9952,0.991947,0.742088,2,3,0,49.4497,9.82709,-1.47098,1.76338
-46.4558,0.979602,0.742088,3,7,0,47.4679,9.58667,-0.710367,1.28466
-46.3227,1,0.742088,3,7,0,46.7433,9.81007,-1.40583,1.73885
-43.9131,0.985963,0.742088,4,31,0,46.433,9.54936,-1.02455,1.41817
-44.0087,0.827832,0.742088,1,3,0,45.3616,9.79411,-1.00724,1.57525
