# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = MedianAgeDivorce_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 4
# data
#   file = MedianAgeDivorce_4.data.R
# init = 2 (Default)
# random
#   seed = 592096659
# output
#   file = MedianAgeDivorce_samples_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,bA,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50
-44.0236,0.963809,0.808854,3,11,0,44.5605,9.52116,-0.900512,1.37639,10.2001,10.2902,9.74989,11.1007,8.84938,9.83994,8.12897,9.02948,6.2379,9.20959,9.65984,8.75933,12.0912,8.66928,9.83994,10.1101,10.4703,10.6504,9.65984,9.20959,8.39913,7.31851,9.20959,9.29964,9.74989,9.93,9.83994,10.1101,8.84938,8.03892,9.74989,7.40856,9.83994,10.2001,9.29964,11.0106,9.56979,8.57923,7.58866,9.20959,9.93,10.2902,10.2902,12.0012,8.75933,9.20959,9.65984,10.4703,9.29964,11.1907
-44.1073,0.965708,0.808854,4,19,0,44.9211,9.79026,-0.850583,1.63534,10.4316,10.5167,10.0063,11.2822,9.15572,10.0914,8.47526,9.32584,6.68903,9.49596,9.92125,9.07066,12.2178,8.98561,10.0914,10.3465,10.6868,10.8569,9.92125,9.49596,8.73043,7.70973,9.49596,9.58101,10.0063,10.1764,10.0914,10.3465,9.15572,8.3902,10.0063,7.79479,10.0914,10.4316,9.58101,11.1971,9.83619,8.90055,7.96491,9.49596,10.1764,10.5167,10.5167,12.1328,9.07066,9.49596,9.92125,10.6868,9.58101,11.3672
-44.4026,0.731146,0.808854,2,3,0,50.5154,9.57548,-0.898511,1.29779,10.253,10.3428,9.8037,11.1515,8.90519,9.89355,8.18638,9.08489,6.29951,9.26459,9.71385,8.81534,12.1398,8.72549,9.89355,10.1631,10.5225,10.7022,9.71385,9.26459,8.45593,7.37772,9.26459,9.35444,9.8037,9.9834,9.89355,10.1631,8.90519,8.09653,9.8037,7.46757,9.89355,10.253,9.35444,11.0616,9.624,8.63564,7.64727,9.26459,9.9834,10.3428,10.3428,12.05,8.81534,9.26459,9.71385,10.5225,9.35444,11.2413
-47.0635,0.532488,0.808854,3,15,0,49.8111,9.6551,-0.461076,1.34887,10.0028,10.0489,9.77221,10.4638,9.31114,9.81832,8.94228,9.40335,7.97402,9.49557,9.72611,9.26503,10.971,9.21892,9.81832,9.95664,10.1411,10.2333,9.72611,9.49557,9.0806,8.52731,9.49557,9.54168,9.77221,9.86443,9.81832,9.95664,9.31114,8.89617,9.77221,8.57342,9.81832,10.0028,9.54168,10.4177,9.68,9.17281,8.66563,9.49557,9.86443,10.0489,10.0489,10.9249,9.26503,9.49557,9.72611,10.1411,9.54168,10.5099
-48.4979,0.799823,0.808854,3,7,0,50.249,9.91594,-1.32285,1.79044,10.9134,11.0457,10.2519,12.2362,8.9291,10.3842,7.87083,9.19367,5.09285,9.45824,10.1197,8.79682,13.6913,8.66453,10.3842,10.7811,11.3102,11.5748,10.1197,9.45824,8.26768,6.68026,9.45824,9.59052,10.2519,10.5165,10.3842,10.7811,8.9291,7.73854,10.2519,6.81255,10.3842,10.9134,9.59052,12.1039,9.98738,8.53225,7.07712,9.45824,10.5165,11.0457,11.0457,13.5591,8.79682,9.45824,10.1197,11.3102,9.59052,12.3685
-43.8207,1,0.808854,2,3,0,48.0268,9.84375,-0.908172,1.51686,10.5285,10.6193,10.0744,11.4367,9.16626,10.1652,8.43972,9.34789,6.53256,9.52953,9.98361,9.07544,12.4357,8.98462,10.1652,10.4377,10.801,10.9826,9.98361,9.52953,8.71217,7.62237,9.52953,9.62034,10.0744,10.2561,10.1652,10.4377,9.16626,8.3489,10.0744,7.71318,10.1652,10.5285,9.62034,11.3459,9.8928,8.89381,7.89482,9.52953,10.2561,10.6193,10.6193,12.3449,9.07544,9.52953,9.98361,10.801,9.62034,11.5275
-43.8871,0.982472,0.808854,2,3,0,44.1818,9.86142,-0.856003,1.54278,10.5069,10.5925,10.0788,11.3629,9.22285,10.1644,8.53804,9.39405,6.74044,9.56525,9.99325,9.13725,12.3045,9.05165,10.1644,10.4213,10.7637,10.9349,9.99325,9.56525,8.79484,7.76764,9.56525,9.65085,10.0788,10.2501,10.1644,10.4213,9.22285,8.45244,10.0788,7.85324,10.1644,10.5069,9.65085,11.2773,9.90765,8.96605,8.02444,9.56525,10.2501,10.5925,10.5925,12.2189,9.13725,9.56525,9.99325,10.7637,9.65085,11.4485
-44.1992,0.938915,0.808854,2,3,0,44.673,9.89095,-0.737853,1.43051,10.4473,10.5211,10.0784,11.1851,9.34051,10.1522,8.75023,9.48808,7.20074,9.63565,10.0046,9.26673,11.9968,9.19294,10.1522,10.3735,10.6686,10.8162,10.0046,9.63565,8.97159,8.08616,9.63565,9.70944,10.0784,10.2259,10.1522,10.3735,9.34051,8.67644,10.0784,8.15995,10.1522,10.4473,9.70944,11.1114,9.93079,9.11916,8.30752,9.63565,10.2259,10.5211,10.5211,11.923,9.26673,9.63565,10.0046,10.6686,9.70944,11.2589
-43.8741,0.992904,0.808854,2,3,0,44.6256,9.73022,-0.941433,1.3606,10.4401,10.5342,9.96934,11.3815,9.02791,10.0635,8.27476,9.2162,6.29776,9.40448,9.8752,8.93377,12.4171,8.83962,10.0635,10.3459,10.7225,10.9108,9.8752,9.40448,8.55719,7.42748,9.40448,9.49863,9.96934,10.1576,10.0635,10.3459,9.02791,8.18062,9.96934,7.52162,10.0635,10.4401,9.49863,11.2874,9.78106,8.74548,7.70991,9.40448,10.1576,10.5342,10.5342,12.3229,8.93377,9.40448,9.8752,10.7225,9.49863,11.4756
-44.0293,0.837566,0.808854,2,3,0,45.4561,9.80235,-0.925865,1.59835,10.5005,10.593,10.0375,11.4263,9.11165,10.1301,8.37096,9.29683,6.42664,9.482,9.94493,9.01907,12.4448,8.92648,10.1301,10.4079,10.7782,10.9634,9.94493,9.482,8.64872,7.53768,9.482,9.57459,10.0375,10.2227,10.1301,10.4079,9.11165,8.27837,10.0375,7.63027,10.1301,10.5005,9.57459,11.3337,9.85235,8.83389,7.81544,9.482,10.2227,10.593,10.593,12.3522,9.01907,9.482,9.94493,10.7782,9.57459,11.5189
-45.1717,0.917684,0.808854,2,7,0,45.6183,9.61594,-0.742401,1.76839,10.1757,10.2499,9.80451,10.9181,9.06211,9.87875,8.46818,9.21059,6.90914,9.35907,9.73027,8.98787,11.7347,8.91363,9.87875,10.1015,10.3984,10.5469,9.73027,9.35907,8.69091,7.80002,9.35907,9.43331,9.80451,9.95299,9.87875,10.1015,9.06211,8.39394,9.80451,7.87426,9.87875,10.1757,9.43331,10.8439,9.65603,8.83939,8.02274,9.35907,9.95299,10.2499,10.2499,11.6605,8.98787,9.35907,9.73027,10.3984,9.43331,10.9923
-44.6152,0.93279,0.808854,3,11,0,47.0104,9.80817,-0.998039,1.65665,10.5607,10.6605,10.0617,11.5587,9.06363,10.1615,8.2652,9.26324,6.16931,9.46284,9.96186,8.96382,12.6566,8.86402,10.1615,10.4609,10.8601,11.0597,9.96186,9.46284,8.56461,7.36696,9.46284,9.56265,10.0617,10.2613,10.1615,10.4609,9.06363,8.16539,10.0617,7.46677,10.1615,10.5607,9.56265,11.4589,9.86206,8.76422,7.66637,9.46284,10.2613,10.6605,10.6605,12.5568,8.96382,9.46284,9.96186,10.8601,9.56265,11.6585
-44.0511,0.952163,0.808854,2,3,0,45.8272,9.91269,-0.803954,1.48202,10.5189,10.5993,10.1169,11.3228,9.31294,10.1973,8.66978,9.47373,6.98148,9.63452,10.0365,9.23255,12.2072,9.15215,10.1973,10.4385,10.7601,10.9209,10.0365,9.63452,8.91097,7.94622,9.63452,9.71492,10.1169,10.2777,10.1973,10.4385,9.31294,8.58938,10.1169,8.02662,10.1973,10.5189,9.71492,11.2424,9.95611,9.07176,8.18741,9.63452,10.2777,10.5993,10.5993,12.1268,9.23255,9.63452,10.0365,10.7601,9.71492,11.4032
-44.4558,0.921874,0.808854,4,27,0,45.5494,9.94379,-0.727044,1.51355,10.492,10.5647,10.1285,11.219,9.40142,10.2012,8.81978,9.54683,7.29299,9.69224,10.0558,9.32872,12.0188,9.25601,10.2012,10.4193,10.7101,10.8555,10.0558,9.69224,9.0379,8.16544,9.69224,9.76494,10.1285,10.2739,10.2012,10.4193,9.40142,8.74708,10.1285,8.23815,10.2012,10.492,9.76494,11.1463,9.98306,9.18331,8.38356,9.69224,10.2739,10.5647,10.5647,11.9461,9.32872,9.69224,10.0558,10.7101,9.76494,11.2917
-44.9274,0.691466,0.808854,2,3,0,47.9067,9.79536,-1.10117,1.6014,10.6256,10.7358,10.0751,11.7268,8.97389,10.1852,8.09295,9.19412,5.78048,9.41436,9.96494,8.86377,12.9381,8.75365,10.1852,10.5155,10.956,11.1762,9.96494,9.41436,8.4233,7.10189,9.41436,9.52447,10.0751,10.2953,10.1852,10.5155,8.97389,7.98283,10.0751,7.21201,10.1852,10.6256,9.52447,11.6167,9.85482,8.64353,7.43224,9.41436,10.2953,10.7358,10.7358,12.828,8.86377,9.41436,9.96494,10.956,9.52447,11.8369
-44.3195,0.902214,0.808854,2,3,0,46.6474,9.95361,-0.811183,1.53644,10.5652,10.6464,10.1596,11.3764,9.34847,10.2408,8.69952,9.5107,6.99603,9.67294,10.0785,9.26735,12.2687,9.18623,10.2408,10.4841,10.8086,10.9708,10.0785,9.67294,8.94287,7.96945,9.67294,9.75406,10.1596,10.3219,10.2408,10.4841,9.34847,8.6184,10.1596,8.05057,10.2408,10.5652,9.75406,11.2953,9.99741,9.10511,8.21281,9.67294,10.3219,10.6464,10.6464,12.1876,9.26735,9.67294,10.0785,10.8086,9.75406,11.4575
-46.9912,0.589361,0.808854,2,3,0,49.1408,9.81295,-0.61721,1.21984,10.2783,10.34,9.96972,10.8955,9.35251,10.0314,8.85874,9.47595,7.5626,9.59939,9.908,9.29079,11.5745,9.22907,10.0314,10.2166,10.4635,10.5869,9.908,9.59939,9.04391,8.30325,9.59939,9.66112,9.96972,10.0932,10.0314,10.2166,9.35251,8.79702,9.96972,8.36498,10.0314,10.2783,9.66112,10.8338,9.84628,9.16735,8.48842,9.59939,10.0932,10.34,10.34,11.5127,9.29079,9.59939,9.908,10.4635,9.66112,10.9573
-45.7257,1,0.808854,2,3,0,47.046,9.73528,-0.690988,1.2343,10.2563,10.3254,9.91079,10.9473,9.21981,9.97989,8.66701,9.358,7.21594,9.4962,9.84169,9.15071,11.7074,9.08161,9.97989,10.1872,10.4636,10.6018,9.84169,9.4962,8.87431,8.04513,9.4962,9.5653,9.91079,10.049,9.97989,10.1872,9.21981,8.59792,9.91079,8.11422,9.97989,10.2563,9.5653,10.8782,9.7726,9.01251,8.25242,9.4962,10.049,10.3254,10.3254,11.6383,9.15071,9.4962,9.84169,10.4636,9.5653,11.0164
-46.6064,0.873083,0.808854,4,23,0,48.522,9.66255,-0.886959,1.9263,10.3313,10.42,9.88783,11.2183,9.00088,9.97653,8.29131,9.17827,6.4287,9.35566,9.79914,8.91218,12.1939,8.82348,9.97653,10.2426,10.5974,10.7748,9.79914,9.35566,8.5574,7.49305,9.35566,9.44436,9.88783,10.0652,9.97653,10.2426,9.00088,8.20261,9.88783,7.58174,9.97653,10.3313,9.44436,11.1296,9.71044,8.73479,7.75913,9.35566,10.0652,10.42,10.42,12.1052,8.91218,9.35566,9.79914,10.5974,9.44436,11.307
-46.0172,0.999348,0.808854,3,15,0,48.1462,9.45541,-0.957549,1.24099,10.1774,10.2732,9.69863,11.135,8.74108,9.79438,7.97504,8.93259,5.96419,9.1241,9.60287,8.64532,12.1883,8.54957,9.79438,10.0816,10.4647,10.6562,9.60287,9.1241,8.2623,7.11324,9.1241,9.21985,9.69863,9.89014,9.79438,10.0816,8.74108,7.87928,9.69863,7.209,9.79438,10.1774,9.21985,11.0392,9.50712,8.45381,7.40051,9.1241,9.89014,10.2732,10.2732,12.0925,8.64532,9.1241,9.60287,10.4647,9.21985,11.2307
-45.8902,0.995946,0.808854,4,27,0,46.4144,9.96568,-0.818856,1.79939,10.5831,10.665,10.1737,11.402,9.35481,10.2556,8.69973,9.51858,6.98013,9.68236,10.0918,9.27293,12.3027,9.19104,10.2556,10.5012,10.8288,10.9925,10.0918,9.68236,8.94539,7.96276,9.68236,9.76424,10.1737,10.3374,10.2556,10.5012,9.35481,8.61784,10.1737,8.04464,10.2556,10.5831,9.76424,11.3201,10.0099,9.10916,8.20841,9.68236,10.3374,10.665,10.665,12.2208,9.27293,9.68236,10.0918,10.8288,9.76424,11.4838
-46.1072,0.969988,0.808854,2,7,0,47.5257,9.84395,-0.4754,1.5674,10.2024,10.2499,9.9647,10.6778,9.4893,10.0122,9.10898,9.58438,8.11064,9.67946,9.91716,9.44176,11.2007,9.39422,10.0122,10.1549,10.345,10.4401,9.91716,9.67946,9.2516,8.68112,9.67946,9.727,9.9647,10.0598,10.0122,10.1549,9.4893,9.06144,9.9647,8.72866,10.0122,10.2024,9.727,10.6303,9.86962,9.34668,8.82374,9.67946,10.0598,10.2499,10.2499,11.1532,9.44176,9.67946,9.91716,10.345,9.727,10.7253
-44.2858,0.855663,0.808854,2,3,0,49.5408,9.72311,-0.814856,1.29221,10.3375,10.419,9.93009,11.1524,9.11523,10.0116,8.46334,9.2782,6.75215,9.44117,9.8486,9.03374,12.0487,8.95226,10.0116,10.256,10.582,10.7449,9.8486,9.44117,8.7078,7.72997,9.44117,9.52266,9.93009,10.0931,10.0116,10.256,9.11523,8.38186,9.93009,7.81146,10.0116,10.3375,9.52266,11.0709,9.76711,8.87077,7.97443,9.44117,10.0931,10.419,10.419,11.9672,9.03374,9.44117,9.8486,10.582,9.52266,11.2339
-44.2232,0.931596,0.808854,2,7,0,45.2158,9.76991,-1.00917,1.37149,10.5308,10.6317,10.0262,11.54,9.01707,10.1272,8.20974,9.21891,6.09049,9.42074,9.92533,8.91616,12.6501,8.81524,10.1272,10.4299,10.8336,11.0354,9.92533,9.42074,8.51249,7.30149,9.42074,9.52166,10.0262,10.2281,10.1272,10.4299,9.01707,8.10882,10.0262,7.4024,10.1272,10.5308,9.52166,11.4391,9.82441,8.71432,7.60424,9.42074,10.2281,10.6317,10.6317,12.5492,8.91616,9.42074,9.92533,10.8336,9.52166,11.6409
-44.3418,0.992196,0.808854,2,3,0,44.5971,9.75403,-0.963437,1.31446,10.4805,10.5768,9.99874,11.4439,9.03531,10.0951,8.26456,9.22799,6.24134,9.42068,9.9024,8.93896,12.5037,8.84262,10.0951,10.3841,10.7695,10.9622,9.9024,9.42068,8.55359,7.39746,9.42068,9.51702,9.99874,10.1914,10.0951,10.3841,9.03531,8.16821,9.99874,7.49381,10.0951,10.4805,9.51702,11.3476,9.80606,8.74628,7.68649,9.42068,10.1914,10.5768,10.5768,12.4073,8.93896,9.42068,9.9024,10.7695,9.51702,11.5402
-45.8044,0.805638,0.808854,3,11,0,46.7791,9.45674,-1.11257,1.68249,10.2956,10.4069,9.73934,11.4082,8.62676,9.85059,7.7367,8.84928,5.4003,9.07179,9.62808,8.51551,12.632,8.40425,9.85059,10.1844,10.6294,10.8519,9.62808,9.07179,8.07048,6.73539,9.07179,9.18305,9.73934,9.96185,9.85059,10.1844,8.62676,7.62545,9.73934,6.84664,9.85059,10.2956,9.18305,11.2969,9.51682,8.29299,7.06916,9.07179,9.96185,10.4069,10.4069,12.5208,8.51551,9.07179,9.62808,10.6294,9.18305,11.5195
-43.8978,0.971859,0.808854,3,15,0,46.2937,9.72985,-0.872424,1.33289,10.3877,10.4749,9.95144,11.2601,9.07902,10.0387,8.38108,9.2535,6.54899,9.42799,9.8642,8.99177,12.2197,8.90453,10.0387,10.3004,10.6494,10.8239,9.8642,9.42799,8.6428,7.5959,9.42799,9.51523,9.95144,10.1259,10.0387,10.3004,9.07902,8.29383,9.95144,7.68314,10.0387,10.3877,9.51523,11.1728,9.77696,8.81729,7.85762,9.42799,10.1259,10.4749,10.4749,12.1325,8.99177,9.42799,9.8642,10.6494,9.51523,11.3473
-44.3411,0.938581,0.808854,2,7,0,44.7805,9.81217,-0.779129,1.65618,10.3996,10.4775,10.0101,11.1788,9.23094,10.088,8.60763,9.38676,6.97146,9.54259,9.93215,9.15302,12.0358,9.07511,10.088,10.3217,10.6334,10.7892,9.93215,9.54259,8.84137,7.90642,9.54259,9.6205,10.0101,10.1659,10.088,10.3217,9.23094,8.52972,10.0101,7.98433,10.088,10.3996,9.6205,11.1008,9.85424,8.9972,8.14016,9.54259,10.1659,10.4775,10.4775,11.9579,9.15302,9.54259,9.93215,10.6334,9.6205,11.2567
-43.5127,0.997377,0.808854,4,23,0,44.31,9.68166,-0.90527,1.49653,10.3642,10.4548,9.9116,11.2695,9.00633,10.0021,8.28211,9.18738,6.38105,9.36844,9.82107,8.9158,12.2653,8.82527,10.0021,10.2737,10.6358,10.8169,9.82107,9.36844,8.55369,7.46737,9.36844,9.45896,9.9116,10.0927,10.0021,10.2737,9.00633,8.19159,9.9116,7.5579,10.0021,10.3642,9.45896,11.179,9.73054,8.73475,7.73895,9.36844,10.0927,10.4548,10.4548,12.1748,8.9158,9.36844,9.82107,10.6358,9.45896,11.36
-44.4648,0.925723,0.808854,2,7,0,44.4776,9.8739,-0.715507,1.37446,10.4134,10.4849,10.0556,11.1289,9.34014,10.1272,8.76773,9.48324,7.26517,9.62634,9.98409,9.26859,11.916,9.19703,10.1272,10.3418,10.628,10.7711,9.98409,9.62634,8.98238,8.12377,9.62634,9.69789,10.0556,10.1987,10.1272,10.3418,9.34014,8.69618,10.0556,8.19533,10.1272,10.4134,9.69789,11.0574,9.91254,9.12548,8.33843,9.62634,10.1987,10.4849,10.4849,11.8444,9.26859,9.62634,9.98409,10.628,9.69789,11.2005
-43.7464,0.999592,0.808854,4,19,0,44.5028,9.56227,-0.820295,1.54176,10.1808,10.2628,9.77063,11.0011,8.95033,9.85266,8.29409,9.11439,6.57147,9.27845,9.6886,8.8683,11.9034,8.78627,9.85266,10.0987,10.4269,10.5909,9.6886,9.27845,8.54018,7.55583,9.27845,9.36048,9.77063,9.93468,9.85266,10.0987,8.95033,8.21207,9.77063,7.63786,9.85266,10.1808,9.36048,10.919,9.60657,8.70424,7.80192,9.27845,9.93468,10.2628,10.2628,11.8214,8.8683,9.27845,9.6886,10.4269,9.36048,11.0831
-43.5175,0.90797,0.808854,3,15,0,44.9864,9.74223,-0.870291,1.41749,10.3984,10.4855,9.96329,11.2687,9.09299,10.0503,8.39676,9.26705,6.56915,9.44111,9.87626,9.00597,12.226,8.91894,10.0503,10.3114,10.6595,10.8336,9.87626,9.44111,8.65785,7.6135,9.44111,9.52814,9.96329,10.1373,10.0503,10.3114,9.09299,8.30973,9.96329,7.70053,10.0503,10.3984,9.52814,11.1817,9.78923,8.83191,7.87459,9.44111,10.1373,10.4855,10.4855,12.139,9.00597,9.44111,9.87626,10.6595,9.52814,11.3558
-43.7758,0.975099,0.808854,3,15,0,43.836,9.52243,-0.863743,1.50267,10.1737,10.2601,9.74182,11.0374,8.87808,9.82819,8.18708,9.05082,6.37322,9.22357,9.65544,8.7917,11.9875,8.70533,9.82819,10.0873,10.4328,10.6056,9.65544,9.22357,8.4462,7.40971,9.22357,9.30995,9.74182,9.91457,9.82819,10.0873,8.87808,8.10071,9.74182,7.49609,9.82819,10.1737,9.30995,10.9511,9.56907,8.61895,7.66884,9.22357,9.91457,10.2601,10.2601,11.9012,8.7917,9.22357,9.65544,10.4328,9.30995,11.1238
-44.0991,0.863099,0.808854,2,3,0,45.536,9.81991,-1.01031,1.46107,10.5817,10.6827,10.0765,11.592,9.06621,10.1776,8.25797,9.26828,6.13631,9.47034,9.9755,8.96518,12.7033,8.86415,10.1776,10.4807,10.8848,11.0868,9.9755,9.47034,8.56106,7.34869,9.47034,9.57137,10.0765,10.2786,10.1776,10.4807,9.06621,8.15693,10.0765,7.44972,10.1776,10.5817,9.57137,11.491,9.87446,8.76312,7.65178,9.47034,10.2786,10.6827,10.6827,12.6023,8.96518,9.47034,9.9755,10.8848,9.57137,11.693
-46.0342,0.616043,0.808854,2,3,0,48.7928,10.1421,-0.749882,1.62503,10.7075,10.7825,10.3325,11.4574,9.58267,10.4075,8.98276,9.73264,7.40801,9.88262,10.2576,9.50768,12.2822,9.43269,10.4075,10.6325,10.9325,11.0824,10.2576,9.88262,9.20773,8.30787,9.88262,9.95761,10.3325,10.4825,10.4075,10.6325,9.58267,8.90777,10.3325,8.38285,10.4075,10.7075,9.95761,11.3824,10.1826,9.3577,8.53283,9.88262,10.4825,10.7825,10.7825,12.2073,9.50768,9.88262,10.2576,10.9325,9.95761,11.5324
