# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = MedianAgeDivorce_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 3
# data
#   file = MedianAgeDivorce_3.data.R
# init = 2 (Default)
# random
#   seed = 592096651
# output
#   file = MedianAgeDivorce_samples_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,bA,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50
-44.3499,0.972955,0.842559,3,11,0,45.3127,9.72575,-1.05568,1.40204,10.5217,10.6273,9.99389,11.5774,8.93821,10.0995,8.09367,9.14935,5.87675,9.36049,9.88833,8.83265,12.7387,8.72708,10.0995,10.4162,10.8384,11.0496,9.88833,9.36049,8.41038,7.14356,9.36049,9.46605,9.99389,10.205,10.0995,10.4162,8.93821,7.9881,9.99389,7.24913,10.0995,10.5217,9.46605,11.4718,9.78276,8.62151,7.46026,9.36049,10.205,10.6273,10.6273,12.6331,8.83265,9.36049,9.88833,10.8384,9.46605,11.683
-44.3963,0.996733,0.842559,3,15,0,44.873,9.73102,-1.0566,1.39396,10.5277,10.6334,9.9994,11.5843,8.94279,10.1051,8.09751,9.15411,5.87864,9.36544,9.89374,8.83713,12.7466,8.73147,10.1051,10.422,10.8447,11.056,9.89374,9.36544,8.41449,7.14657,9.36544,9.4711,9.9994,10.2107,10.1051,10.422,8.94279,7.99185,9.9994,7.25223,10.1051,10.5277,9.4711,11.4786,9.78808,8.62581,7.46355,9.36544,10.2107,10.6334,10.6334,12.6409,8.83713,9.36544,9.89374,10.8447,9.4711,11.69
-44.2657,1,0.842559,2,7,0,44.7939,9.78324,-0.957581,1.32791,10.5053,10.601,10.0265,11.4628,9.06889,10.1222,8.30282,9.2604,6.2919,9.45192,9.93071,8.97313,12.5162,8.87737,10.1222,10.4095,10.7925,10.9841,9.93071,9.45192,8.5901,7.441,9.45192,9.54768,10.0265,10.218,10.1222,10.4095,9.06889,8.20707,10.0265,7.53676,10.1222,10.5053,9.54768,11.3671,9.83495,8.78161,7.72828,9.45192,10.218,10.601,10.601,12.4204,8.97313,9.45192,9.93071,10.7925,9.54768,11.5586
-44.213,0.861701,0.842559,2,3,0,45.7751,9.71685,-0.810548,1.29947,10.328,10.4091,9.92273,11.1386,9.11218,10.0038,8.46374,9.27429,6.76159,9.4364,9.84167,9.03113,12.0302,8.95007,10.0038,10.2469,10.5712,10.7333,9.84167,9.4364,8.70691,7.73425,9.4364,9.51746,9.92273,10.0848,10.0038,10.2469,9.11218,8.38269,9.92273,7.8153,10.0038,10.328,9.51746,11.0575,9.76062,8.86902,7.97741,9.4364,10.0848,10.4091,10.4091,11.9491,9.03113,9.4364,9.84167,10.5712,9.51746,11.2196
-46.124,0.741453,0.842559,2,7,0,46.6181,9.44006,-0.905149,1.8331,10.1225,10.2131,9.66997,11.0277,8.76482,9.76049,8.0407,8.94585,6.13989,9.12688,9.57946,8.67431,12.0234,8.58379,9.76049,10.032,10.3941,10.5751,9.57946,9.12688,8.31225,7.22607,9.12688,9.2174,9.66997,9.851,9.76049,10.032,8.76482,7.95019,9.66997,7.31658,9.76049,10.1225,9.2174,10.9372,9.48894,8.49328,7.49761,9.12688,9.851,10.2131,10.2131,11.9328,8.67431,9.12688,9.57946,10.3941,9.2174,11.1182
-44.7867,0.925907,0.842559,2,3,0,47.1796,9.70261,-0.728888,1.72143,10.2522,10.3251,9.88775,10.9811,9.15886,9.96064,8.57575,9.30464,7.04508,9.45041,9.81486,9.08597,11.7829,9.01308,9.96064,10.1793,10.4709,10.6166,9.81486,9.45041,8.79441,7.91975,9.45041,9.5233,9.88775,10.0335,9.96064,10.1793,9.15886,8.50286,9.88775,7.99264,9.96064,10.2522,9.5233,10.9082,9.74197,8.94019,8.13842,9.45041,10.0335,10.3251,10.3251,11.71,9.08597,9.45041,9.81486,10.4709,9.5233,11.054
-45.0686,0.989969,0.842559,4,27,0,45.7257,9.75679,-0.858923,1.77021,10.4044,10.4903,9.97496,11.2633,9.11604,10.0609,8.4289,9.28782,6.62516,9.45961,9.88907,9.03015,12.2082,8.94425,10.0609,10.3185,10.6621,10.8339,9.88907,9.45961,8.68658,7.65587,9.45961,9.5455,9.97496,10.1467,10.0609,10.3185,9.11604,8.34301,9.97496,7.74176,10.0609,10.4044,9.5455,11.1775,9.80318,8.85836,7.91355,9.45961,10.1467,10.4903,10.4903,12.1223,9.03015,9.45961,9.88907,10.6621,9.5455,11.3492
-44.9842,0.970619,0.842559,2,3,0,46.145,9.96518,-0.951302,1.65232,10.6825,10.7776,10.2068,11.6338,9.25551,10.3019,8.49447,9.44577,6.49673,9.63603,10.1117,9.16038,12.6802,9.06525,10.3019,10.5873,10.9679,11.1581,10.1117,9.63603,8.77986,7.63829,9.63603,9.73116,10.2068,10.3971,10.3019,10.5873,9.25551,8.39934,10.2068,7.73342,10.3019,10.6825,9.73116,11.5386,10.0166,8.97012,7.92369,9.63603,10.3971,10.7776,10.7776,12.5851,9.16038,9.63603,10.1117,10.9679,9.73116,11.7289
-47.2336,0.78419,0.842559,2,3,0,47.9349,9.16644,-0.646091,1.49208,9.65359,9.7182,9.33054,10.2997,8.68445,9.39515,8.16758,8.81367,6.81079,8.94289,9.26594,8.61984,11.0104,8.55524,9.39515,9.58898,9.84742,9.97664,9.26594,8.94289,8.36141,7.5861,8.94289,9.0075,9.33054,9.45976,9.39515,9.58898,8.68445,8.10297,9.33054,7.65071,9.39515,9.65359,9.0075,10.2351,9.20133,8.49063,7.77993,8.94289,9.45976,9.7182,9.7182,10.9458,8.61984,8.94289,9.26594,9.84742,9.0075,10.3643
-48.6021,0.812233,0.842559,2,7,0,50.1027,10.1443,-1.22707,1.77497,11.0695,11.1922,10.456,12.2966,9.22894,10.5787,8.24729,9.47435,5.67045,9.71977,10.3333,9.10623,13.6464,8.98353,10.5787,10.9468,11.4377,11.6831,10.3333,9.71977,8.61541,7.14293,9.71977,9.84247,10.456,10.7014,10.5787,10.9468,9.22894,8.12458,10.456,7.26564,10.5787,11.0695,9.84247,12.1739,10.2106,8.86082,7.51105,9.71977,10.7014,11.1922,11.1922,13.5237,9.10623,9.71977,10.3333,11.4377,9.84247,12.4193
-43.9778,1,0.842559,2,3,0,48.242,9.80671,-0.744297,1.56884,10.3679,10.4423,9.99576,11.1122,9.25146,10.0702,8.65602,9.40032,7.093,9.54918,9.92133,9.17703,11.9309,9.1026,10.0702,10.2935,10.5912,10.7401,9.92133,9.54918,8.87931,7.98615,9.54918,9.62361,9.99576,10.1446,10.0702,10.2935,9.25146,8.58159,9.99576,8.06058,10.0702,10.3679,9.62361,11.0378,9.8469,9.02817,8.20944,9.54918,10.1446,10.4423,10.4423,11.8565,9.17703,9.54918,9.92133,10.5912,9.62361,11.1866
-44.7198,0.844464,0.842559,2,3,0,45.7149,9.99461,-0.893627,1.40712,10.6684,10.7578,10.2216,11.562,9.32797,10.311,8.61306,9.50669,6.73645,9.68542,10.1322,9.2386,12.545,9.14924,10.311,10.579,10.9365,11.1152,10.1322,9.68542,8.88115,7.8088,9.68542,9.77478,10.2216,10.4003,10.311,10.579,9.32797,8.5237,10.2216,7.89816,10.311,10.6684,9.77478,11.4727,10.0429,9.05988,8.07689,9.68542,10.4003,10.7578,10.7578,12.4557,9.2386,9.68542,10.1322,10.9365,9.77478,11.6514
-45.0349,0.955665,0.842559,2,7,0,45.8899,9.50807,-0.587906,1.55341,9.95135,10.0101,9.6574,10.5393,9.06949,9.71619,8.59917,9.18707,7.36457,9.30465,9.59861,9.0107,11.186,8.95191,9.71619,9.89256,10.1277,10.2453,9.59861,9.30465,8.77554,8.07005,9.30465,9.36345,9.6574,9.77498,9.71619,9.89256,9.06949,8.54038,9.6574,8.12884,9.71619,9.95135,9.36345,10.4805,9.53982,8.89312,8.24642,9.30465,9.77498,10.0101,10.0101,11.1272,9.0107,9.30465,9.59861,10.1277,9.36345,10.598
-45.3027,0.954054,0.842559,4,19,0,46.8114,10.0665,-0.75001,1.58277,10.632,10.707,10.257,11.382,9.50695,10.332,8.90694,9.65695,7.33192,9.80695,10.182,9.43195,12.207,9.35695,10.332,10.557,10.857,11.007,10.182,9.80695,9.13194,8.23193,9.80695,9.88195,10.257,10.407,10.332,10.557,9.50695,8.83194,10.257,8.30693,10.332,10.632,9.88195,11.307,10.107,9.28195,8.45693,9.80695,10.407,10.707,10.707,12.132,9.43195,9.80695,10.182,10.857,9.88195,11.457
-44.964,0.841167,0.842559,2,7,0,48.3521,9.41249,-0.66083,1.55608,9.91075,9.97684,9.58034,10.5716,8.91951,9.64642,8.39084,9.05167,7.0031,9.18384,9.51426,8.85343,11.2985,8.78734,9.64642,9.84467,10.109,10.2412,9.51426,9.18384,8.58909,7.7961,9.18384,9.24992,9.58034,9.7125,9.64642,9.84467,8.91951,8.32476,9.58034,7.86218,9.64642,9.91075,9.24992,10.5055,9.44817,8.72126,7.99435,9.18384,9.7125,9.97684,9.97684,11.2324,8.85343,9.18384,9.51426,10.109,9.24992,10.6377
-44.622,0.986505,0.842559,2,7,0,45.8133,9.83633,-0.620914,1.52418,10.3045,10.3666,9.99404,10.9254,9.37313,10.0561,8.8764,9.49731,7.57248,9.62149,9.93195,9.31104,11.6084,9.24894,10.0561,10.2424,10.4908,10.615,9.93195,9.62149,9.06267,8.31757,9.62149,9.68358,9.99404,10.1182,10.0561,10.2424,9.37313,8.8143,9.99404,8.37966,10.0561,10.3045,9.68358,10.8633,9.86986,9.18685,8.50385,9.62149,10.1182,10.3666,10.3666,11.5463,9.31104,9.62149,9.93195,10.4908,9.68358,10.9875
-44.8703,0.968974,0.842559,3,15,0,45.6797,9.4096,-1.02539,1.51629,10.1827,10.2853,9.67005,11.2081,8.64466,9.77259,7.82434,8.84974,5.67102,9.05481,9.56751,8.54212,12.3361,8.43958,9.77259,10.0802,10.4904,10.6954,9.56751,9.05481,8.13196,6.90149,9.05481,9.15735,9.67005,9.87513,9.77259,10.0802,8.64466,7.7218,9.67005,7.00403,9.77259,10.1827,9.15735,11.1056,9.46497,8.33704,7.20911,9.05481,9.87513,10.2853,10.2853,12.2335,8.54212,9.05481,9.56751,10.4904,9.15735,11.3107
-45.2849,0.958863,0.842559,1,1,0,45.4336,9.35951,-1.03064,1.56105,10.1366,10.2397,9.6213,11.1673,8.59066,9.72436,7.76614,8.79678,5.6018,9.00291,9.51823,8.48759,12.301,8.38453,9.72436,10.0336,10.4458,10.6519,9.51823,9.00291,8.07534,6.83857,9.00291,9.10598,9.6213,9.82743,9.72436,10.0336,8.59066,7.66308,9.6213,6.94163,9.72436,10.1366,9.10598,11.0642,9.41517,8.28146,7.14776,9.00291,9.82743,10.2397,10.2397,12.1979,8.48759,9.00291,9.51823,10.4458,9.10598,11.2703
-45.6767,0.829488,0.842559,2,3,0,48.1936,9.66663,-1.17101,1.37795,10.5496,10.6667,9.96407,11.7206,8.79306,10.0812,7.85626,9.02726,5.39715,9.26147,9.84697,8.67596,13.0087,8.55886,10.0812,10.4325,10.9009,11.1351,9.84697,9.26147,8.20756,6.80235,9.26147,9.37857,9.96407,10.1983,10.0812,10.4325,8.79306,7.73916,9.96407,6.91945,10.0812,10.5496,9.37857,11.6035,9.72987,8.44176,7.15366,9.26147,10.1983,10.6667,10.6667,12.8916,8.67596,9.26147,9.84697,10.9009,9.37857,11.8377
-50.2177,0.217054,0.842559,1,1,0,50.5257,9.69738,-1.28792,1.21269,10.6685,10.7973,10.0245,11.9564,8.73659,10.1533,7.70626,8.99418,5.00163,9.25176,9.89572,8.6078,13.3731,8.47901,10.1533,10.5397,11.0548,11.3124,9.89572,9.25176,8.09263,6.54713,9.25176,9.38055,10.0245,10.2821,10.1533,10.5397,8.73659,7.57747,10.0245,6.67592,10.1533,10.6685,9.38055,11.8276,9.76693,8.35022,6.93351,9.25176,10.2821,10.7973,10.7973,13.2443,8.6078,9.25176,9.89572,11.0548,9.38055,12.0852
-49.9284,1,0.842559,2,3,0,52.1889,9.78603,-1.26409,1.20979,10.7392,10.8656,10.1071,12.0032,8.84302,10.2335,7.83174,9.09584,5.17715,9.34865,9.9807,8.71661,13.3937,8.5902,10.2335,10.6127,11.1184,11.3712,9.9807,9.34865,8.21097,6.69406,9.34865,9.47506,10.1071,10.3599,10.2335,10.6127,8.84302,7.70534,10.1071,6.82047,10.2335,10.7392,9.47506,11.8768,9.85429,8.46379,7.07329,9.34865,10.3599,10.8656,10.8656,13.2673,8.71661,9.34865,9.9807,11.1184,9.47506,12.1297
-44.0839,1,0.842559,2,3,0,50.5143,9.48525,-0.75065,1.48969,10.0512,10.1263,9.67591,10.8019,8.92526,9.75098,8.32474,9.07539,6.74838,9.22552,9.60085,8.8502,11.6276,8.77513,9.75098,9.97617,10.2764,10.4266,9.60085,9.22552,8.54994,7.64916,9.22552,9.30059,9.67591,9.82604,9.75098,9.97617,8.92526,8.24968,9.67591,7.72422,9.75098,10.0512,9.30059,10.7268,9.52578,8.70007,7.87435,9.22552,9.82604,10.1263,10.1263,11.5525,8.8502,9.22552,9.60085,10.2764,9.30059,10.877
-43.6446,0.999381,0.842559,2,3,0,44.3151,9.65232,-0.768554,1.41,10.2318,10.3087,9.84753,11.0004,9.07898,9.92439,8.46413,9.23269,6.85017,9.3864,9.77068,9.00212,11.8458,8.92527,9.92439,10.155,10.4624,10.6161,9.77068,9.3864,8.6947,7.77244,9.3864,9.46326,9.84753,10.0012,9.92439,10.155,9.07898,8.38728,9.84753,7.84929,9.92439,10.2318,9.46326,10.9235,9.69382,8.84841,8.003,9.3864,10.0012,10.3087,10.3087,11.7689,9.00212,9.3864,9.77068,10.4624,9.46326,11.0772
-45.2083,0.76394,0.842559,3,11,0,45.9223,9.74947,-0.537674,1.48411,10.1549,10.2086,9.88603,10.6925,9.34836,9.9398,8.91822,9.4559,7.7891,9.56343,9.83227,9.29459,11.284,9.24083,9.9398,10.1011,10.3162,10.4237,9.83227,9.56343,9.07952,8.43431,9.56343,9.6172,9.88603,9.99357,9.9398,10.1011,9.34836,8.86445,9.88603,8.48808,9.9398,10.1549,9.6172,10.6388,9.7785,9.18706,8.59562,9.56343,9.99357,10.2086,10.2086,11.2302,9.29459,9.56343,9.83227,10.3162,9.6172,10.7463
-45.0792,0.99698,0.842559,4,23,0,46.0464,9.7683,-1.07044,1.32159,10.5754,10.6825,10.0402,11.6459,8.96976,10.1472,8.11341,9.18384,5.86549,9.39793,9.93315,8.86271,12.8233,8.75567,10.1472,10.4684,10.8965,11.1106,9.93315,9.39793,8.43454,7.15001,9.39793,9.50498,10.0402,10.2543,10.1472,10.4684,8.96976,8.00636,10.0402,7.25706,10.1472,10.5754,9.50498,11.5388,9.82611,8.64863,7.47115,9.39793,10.2543,10.6825,10.6825,12.7163,8.86271,9.39793,9.93315,10.8965,9.50498,11.7529
-45.5855,0.857818,0.842559,4,27,0,47.2126,9.28321,-0.94885,1.60296,9.99865,10.0935,9.52422,10.9475,8.57537,9.61911,7.81629,8.76514,5.82371,8.95491,9.42934,8.48049,11.9912,8.3856,9.61911,9.90376,10.2833,10.4731,9.42934,8.95491,8.10095,6.96233,8.95491,9.0498,9.52422,9.71399,9.61911,9.90376,8.57537,7.72141,9.52422,7.05721,9.61911,9.99865,9.0498,10.8526,9.33445,8.29072,7.24698,8.95491,9.71399,10.0935,10.0935,11.8963,8.48049,8.95491,9.42934,10.2833,9.0498,11.0424
-45.2006,0.973225,0.842559,2,7,0,46.7842,9.71824,-0.555595,1.62509,10.1372,10.1927,9.85936,10.6928,9.30376,9.91492,8.85929,9.41488,7.69254,9.526,9.8038,9.2482,11.3039,9.19264,9.91492,10.0816,10.3038,10.415,9.8038,9.526,9.02597,8.35925,9.526,9.58156,9.85936,9.97048,9.91492,10.0816,9.30376,8.80373,9.85936,8.41481,9.91492,10.1372,9.58156,10.6372,9.74824,9.13709,8.52593,9.526,9.97048,10.1927,10.1927,11.2483,9.2482,9.526,9.8038,10.3038,9.58156,10.7483
-45.1321,0.955237,0.842559,4,27,0,46.6467,9.68449,-0.556065,1.61029,10.1038,10.1594,9.82573,10.6598,9.26966,9.88133,8.82481,9.38087,7.65707,9.49209,9.77012,9.21406,11.2715,9.15845,9.88133,10.0482,10.2706,10.3818,9.77012,9.49209,8.99163,8.32435,9.49209,9.54769,9.82573,9.93694,9.88133,10.0482,9.26966,8.7692,9.82573,8.37996,9.88133,10.1038,9.54769,10.6042,9.71451,9.10284,8.49117,9.49209,9.93694,10.1594,10.1594,11.2159,9.21406,9.49209,9.77012,10.2706,9.54769,10.7154
-45.4756,0.989008,0.842559,4,19,0,46.2984,9.93375,-0.571562,1.56185,10.3647,10.4219,10.0789,10.9363,9.50736,10.1361,9.05011,9.62167,7.84983,9.73599,10.0218,9.4502,11.565,9.39305,10.1361,10.3075,10.5362,10.6505,10.0218,9.73599,9.22158,8.5357,9.73599,9.79314,10.0789,10.1932,10.1361,10.3075,9.50736,8.99295,10.0789,8.59286,10.1361,10.3647,9.79314,10.8791,9.96461,9.33589,8.70717,9.73599,10.1932,10.4219,10.4219,11.5078,9.4502,9.73599,10.0218,10.5362,9.79314,10.9934
-43.8443,1,0.842559,2,3,0,45.4936,9.67267,-0.726841,1.55305,10.2207,10.2934,9.85729,10.9476,9.13045,9.92997,8.54898,9.27582,7.02261,9.42119,9.78461,9.05776,11.7471,8.98508,9.92997,10.148,10.4388,10.5841,9.78461,9.42119,8.76703,7.89482,9.42119,9.49387,9.85729,10.0027,9.92997,10.148,9.13045,8.47629,9.85729,7.9675,9.92997,10.2207,9.49387,10.8749,9.71192,8.9124,8.11287,9.42119,10.0027,10.2934,10.2934,11.6744,9.05776,9.42119,9.78461,10.4388,9.49387,11.0202
-44.8188,0.830508,0.842559,2,3,0,45.4552,9.61191,-0.657458,1.33023,10.1076,10.1734,9.7789,10.7651,9.12144,9.84465,8.59548,9.25293,7.21482,9.38443,9.71315,9.0557,11.4883,8.98995,9.84465,10.0419,10.3049,10.4364,9.71315,9.38443,8.79271,8.00376,9.38443,9.45017,9.7789,9.91039,9.84465,10.0419,9.12144,8.52973,9.7789,8.06951,9.84465,10.1076,9.45017,10.6993,9.64741,8.9242,8.201,9.38443,9.91039,10.1734,10.1734,11.4225,9.0557,9.38443,9.71315,10.3049,9.45017,10.8308
-44.6953,0.763448,0.842559,4,27,0,47.5432,9.68849,-0.692459,1.30579,10.2106,10.2798,9.86437,10.9031,9.17191,9.93362,8.61795,9.3104,7.16378,9.4489,9.79513,9.10267,11.6648,9.03342,9.93362,10.1414,10.4183,10.5568,9.79513,9.4489,8.82568,7.99473,9.4489,9.51814,9.86437,10.0029,9.93362,10.1414,9.17191,8.5487,9.86437,8.06398,9.93362,10.2106,9.51814,10.8338,9.72588,8.96417,8.20247,9.4489,10.0029,10.2798,10.2798,11.5955,9.10267,9.4489,9.79513,10.4183,9.51814,10.9723
-44.5996,0.96453,0.842559,2,3,0,45.3536,9.84307,-0.950574,1.66829,10.5598,10.6549,10.0845,11.5104,9.13394,10.1796,8.37348,9.32406,6.37728,9.51417,9.98946,9.03888,12.556,8.94383,10.1796,10.4647,10.845,11.0351,9.98946,9.51417,8.65866,7.51797,9.51417,9.60923,10.0845,10.2746,10.1796,10.4647,9.13394,8.27843,10.0845,7.61302,10.1796,10.5598,9.60923,11.4153,9.8944,8.84877,7.80314,9.51417,10.2746,10.6549,10.6549,12.461,9.03888,9.51417,9.98946,10.845,9.60923,11.6054
-44.5995,0.980791,0.842559,2,3,0,45.2626,9.41773,-0.842982,1.37263,10.0533,10.1376,9.63185,10.8963,8.78887,9.71615,8.11448,8.95746,6.34422,9.12606,9.54755,8.70457,11.8236,8.62027,9.71615,9.96904,10.3062,10.4748,9.54755,9.12606,8.36737,7.3558,9.12606,9.21036,9.63185,9.80044,9.71615,9.96904,8.78887,8.03018,9.63185,7.44009,9.71615,10.0533,9.21036,10.812,9.46325,8.53597,7.60869,9.12606,9.80044,10.1376,10.1376,11.7393,8.70457,9.12606,9.54755,10.3062,9.21036,10.9806
-44.1836,1,0.842559,2,7,0,45.1107,9.6566,-1.01061,1.58834,10.4186,10.5197,9.9133,11.4292,8.90269,10.0144,8.0942,9.10481,5.97193,9.30693,9.81224,8.80163,12.5409,8.70057,10.0144,10.3175,10.7218,10.9239,9.81224,9.30693,8.39739,7.18466,9.30693,9.408,9.9133,10.1154,10.0144,10.3175,8.90269,7.99314,9.9133,7.28572,10.0144,10.4186,9.408,11.3282,9.71118,8.59951,7.48784,9.30693,10.1154,10.5197,10.5197,12.4398,8.80163,9.30693,9.81224,10.7218,9.408,11.5303
-43.8101,0.999044,0.842559,2,3,0,44.3465,9.8196,-0.823958,1.38624,10.4409,10.5233,10.0289,11.2648,9.20492,10.1113,8.54576,9.36972,6.81544,9.53451,9.94649,9.12253,12.1712,9.04013,10.1113,10.3585,10.688,10.8528,9.94649,9.53451,8.79294,7.80419,9.53451,9.6169,10.0289,10.1937,10.1113,10.3585,9.20492,8.46336,10.0289,7.88659,10.1113,10.4409,9.6169,11.1824,9.86409,8.95774,8.05138,9.53451,10.1937,10.5233,10.5233,12.0888,9.12253,9.53451,9.94649,10.688,9.6169,11.3472
